stem,png_path,npz_path,has_npz
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_1_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_2_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_3_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_4_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_5_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_3_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_4,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_4.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_4_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_5,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_5.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_5_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_6,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_6.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_6_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_7,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_7.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_7_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_8,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_8.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074515_20200101T074619_030604_038191_EBD1.SAFE_6_8_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_0,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_0.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_0_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_1,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_1.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_1_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_2,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_2.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_2_ice_mask.npz,1
S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_3,/home/predm/skimage_segmentation/input_pngs/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_3.png,/home/predm/skimage_segmentation/ice_masks/S1A_EW_GRDM_1SDH_20200101T074620_20200101T074719_030604_038191_4358.SAFE_0_3_ice_mask.npz,1
